종류,가게명_한글,거리,가게명_영문,전화번호,전체 리뷰 수,구글맵 평점,가격대,포장 가능,영업중,리뷰 폴라리티
마카롱,달콤한거짓말,377,달콤한 거짓말,02-3141-3338,115.0,4.4,,True,False,0.5000000000000001
마카롱,민트하임,699,Mint Heim,02-324-1359,323.0,4.2,,True,True,0.26707341269841267
마카롱,봉쥬르마카롱,1117,봉쥬르마카롱,010-4688-2658,2.0,4.0,,True,False,0.0
마카롱,유니마카롱 홍대점,289,유니크디저트,02-338-4265,3.0,5.0,,True,False,0.5142857142857143
마카롱,빌리프커피로스터스,1119,Belief Coffee Roasters,02-333-3100,732.0,4.3,2.0,True,True,0.3572564745196324
마카롱,카페꼬모,627,카페 꼬모,,6.0,3.8,,True,True,0.13529829545454547
마카롱,뮤르뮤르,333,Murmure,010-4393-1127,2.0,5.0,,True,False,0.0
마카롱,피스오브헤븐,300,피스오브헤븐,,8.0,4.1,,True,True,0.42233333333333334
마카롱,17도씨,1340,17 Seoul,02-337-1706,129.0,4.4,,True,False,0.18577857142857143
마카롱,도토리앤다람쥐,906,도토리앤다람쥐,050-71327-8101,30.0,4.2,,True,False,0.2064703842940685
티라미수,합정티라미수,1306,Hapjeong Tiramisu,02-332-7358,217.0,4.1,,True,True,-0.007031746031746039
티라미수,투썸플레이스 상수역점,176,A Twosome Place,02-6012-1011,62.0,3.9,2.0,True,True,-0.02065656565656565
티라미수,투썸플레이스 합정역점,930,A Twosome Place,02-323-0026,313.0,4.2,2.0,True,True,0.4446666666666667
티라미수,투썸플레이스 홍대예술의거리점,687,A Twosome Place,02-2135-2577,58.0,4.1,2.0,True,True,0.06759523809523811
티라미수,투썸플레이스 홍대걷고싶은거리점,914,A Twosome Place,,53.0,3.8,2.0,True,True,0.4290548941798941
티라미수,단하나케이크 홍대점,752,케이크만들기단하나,070-4224-4747,7.0,4.7,,True,True,0.4513660159285159
티라미수,해머플레이스,544,Hammer Place,010-9312-5279,4.0,5.0,,True,False,0.5019097222222222
티라미수,트래블카페샬레,558,Travel Cafe Chalet,02-323-1295,7.0,4.7,,True,False,0.4605201465201465
티라미수,투썸플레이스 광흥창역점,629,A Twosome Place,02-6954-2677,19.0,4.3,2.0,True,True,0.12503467365967366
티라미수,디저트39 합정역점,763,디저트39 합정역점,02-6053-9202,4.0,3.3,2.0,True,False,0.209375
티라미수,한강에스프레소 상수점,314,한강에스프레소 상수점,,4.0,4.8,,True,True,0.39375
티라미수,투썸플레이스 홍대입구역점,1199,A Twosome Place,02-3142-7955,485.0,4.0,2.0,True,True,0.2341452380952381
티라미수,카페델카미노,405,Cafe Delcamino,02-6338-2023,7.0,4.7,,True,True,0.3759166666666667
크로플,스탠스커피,299,Stance Coffee,02-323-7500,70.0,4.1,2.0,True,True,0.4548280867683042
크로플,멜로우,701,Mellow,010-2929-8283,101.0,4.4,,True,True,0.17437857142857144
크로플,펠리칸카페,201,펠리칸카페,02-338-8300,26.0,4.4,,True,False,0.4278928571428572
크로플,커피탐이나,593,Coffee Tomeina,010-2449-3211,29.0,4.4,,True,True,0.6349206349206349
크로플,눈내리는숲 설래임 홍대본점,454,"눈 내리는 숲 설래임 Snowing forest, dessert cafe seollaeim",02-6952-5859,49.0,4.8,,True,True,0.3610863756613757
크로플,카페 사운드웨이브,714,사운드웨이브 합정점 카페,,37.0,4.3,,True,False,0.29
크로플,파우스디멘션,746,파우스디멘션,,1.0,3.0,,True,False,0.07999999999999999
크로플,카페345,845,Kaffee 345,02-333-8015,145.0,4.4,,True,True,0.2847840909090909
빙수,피오니 홍대점,563,Peony,02-333-5325,234.0,4.1,2.0,True,True,0.3305555555555556
빙수,콜린,457,Colline 柿子冰,02-3141-1119,772.0,4.4,,True,True,0.3131323768823769
빙수,달콤한거짓말,377,달콤한 거짓말,02-3141-3338,115.0,4.4,,True,False,0.5000000000000001
빙수,땡스네이쳐,771,Thanks Nature Cafe,02-332-7470,858.0,4.5,2.0,True,False,0.37978472222222226
빙수,허밍벨라,570,Humming Bella,02-324-7050,267.0,4.2,,True,True,0.45718253968253963
빙수,금옥당 서교점,436,금옥당 서교점,02-325-4040,211.0,4.0,,True,True,0.32658333333333334
빙수,멜로우,701,Mellow,010-2929-8283,101.0,4.4,,True,True,0.17437857142857144
빙수,당고집,461,Dang-Go House,070-7573-3164,328.0,4.0,2.0,True,False,0.28729166666666667
빙수,눈내리는숲 설래임 홍대본점,454,"눈 내리는 숲 설래임 Snowing forest, dessert cafe seollaeim",02-6952-5859,49.0,4.8,,True,True,0.3610863756613757
소금빵,뚜레쥬르 마포밤섬점,148,Tous Les Jours,02-717-5999,41.0,4.3,2.0,True,True,0.39448819444444444
소금빵,뚜레쥬르 마포홍대점,790,TousLesJours,02-338-0331,1.0,5.0,2.0,True,True,0.35145032051282055
소금빵,경주십원빵,904,Gyeongju 10 Won Bread,010-3193-2444,204.0,4.0,2.0,True,False,0.13616461038961042
소금빵,뚜레쥬르 구수동점,684,Tous Les Jours,02-717-5999,41.0,4.3,2.0,True,True,0.39448819444444444
소금빵,페그로스터스,1159,FFEEGG Roasters,070-4257-7770,15.0,4.7,,True,False,0.5127833333333334
소금빵,뚜레쥬르 합정메세나점,1095,TousLesJours,,1.0,4.0,,True,True,0.31471861471861473
소금빵,뚜레쥬르 신촌로터리점,1314,Tous Les Jours Café,02-336-0405,6.0,2.8,2.0,True,True,0.03555555555555558
소금빵,빵드합정,1160,Pain de Hapjeong,02-322-8710,6.0,1.7,,True,True,0.13152380952380952
소금빵,설빙 신촌점,1636,Sulbing Sinchon Branch,070-7716-8970,705.0,4.2,2.0,True,True,0.2991765873015873
소금빵,나비카페,1388,Cafe Nabi,050-71366-2571,37.0,4.8,,True,False,0.46275462962962965
소금빵,후와후와,1879,후와후와,02-3298-6876,68.0,4.2,,True,False,0.27714285714285714
푸딩,푸딩아이,397,Podong Pudding,050-71360-8308,18.0,4.5,,True,False,0.4370833333333334
푸딩,고미푸딩,1271,고미푸딩,,17.0,4.1,,True,True,0.43915740740740744
푸딩,푸딩프레소,1049,Puddinghouse 푸딩집,050-71432-5598,2.0,5.0,,True,False,0.0
푸딩,고미푸딩,1850,고미푸딩,,17.0,4.1,,True,True,0.43915740740740744
푸딩,타이프 한강점,206,타이프 한강점,050-71322-2297,63.0,4.5,,True,False,0.38319761904761906
푸딩,카페몬데이,304,카페몬데이 cafe Monday,010-8330-7314,1.0,5.0,,True,False,0.6166666666666667
푸딩,주디마리 홍대점,738,주디마리 홍대점,050-71356-5794,7.0,5.0,,True,True,0.3853438228438228
푸딩,인센트커피,443,인센트커피,010-5744-7101,2.0,5.0,,True,False,0.59375
푸딩,바이러닉 에스프레소바 합정본점,541,Byronic Espresso Bar Hapjeong,050-71478-2622,10.0,3.8,,True,False,0.1910643795229161
푸딩,이네크,263,INNEQ,,1.0,5.0,,True,False,0.18029761904761907
푸딩,뚜레쥬르 마포밤섬점,148,Tous Les Jours,02-717-5999,41.0,4.3,2.0,True,True,0.39448819444444444
젤라또,GLT젤라또,1393,g.l.t gelato,02-322-5628,175.0,4.4,,True,False,0.28943787878787874
젤라또,펠앤콜 홍대본점,263,Fell and Cole,070-4411-1434,199.0,4.4,2.0,True,False,0.15352760270774976
젤라또,두옹즈,304,Duongjeu,070-8648-0933,3.0,4.7,,True,False,0.5575664682539683
젤라또,젤라떼리아 에따,1285,GELATERIA Eta,02-6053-4222,53.0,4.8,,True,False,0.39681944444444445
젤라또,32파르페,725,32 Parfait,02-756-5343,22.0,4.2,,True,True,0.25949999999999995
젤라또,젤라토니,889,젤라토니 gelatony,,5.0,4.2,,True,False,0.33895281339031336
젤라또,아라또,1041,Aratto,,9.0,4.2,,True,True,0.2800338010204081
젤라또,젤라잇,1329,젤라잇 (Gela eat),,6.0,4.7,,True,True,0.2903244047619048
젤라또,밀크팩토리,1064,Milk Factory,,12.0,3.8,,True,False,0.6445833333333334
젤라또,녹기전에,1863,Before it melts,070-8829-8020,215.0,4.7,,True,True,0.28777797202797206
젤라또,유키모찌 연남점,1624,Yuki Mochi,050-71358-0423,53.0,4.1,,True,True,0.3344166666666667
젤라또,페스까,1205,Gelato & Whisky,070-8844-1766,6.0,5.0,,True,True,0.5364242424242425
츄러스,데보,313,Devo,,1.0,4.0,,True,False,0.0
츄러스,량량포차,683,량량포차,010-8411-5965,1.0,5.0,,False,True,0.004761904761904753
츄러스,츄베릅,1029,Chyubereub,010-6765-3595,9.0,4.8,,True,False,0.35777777777777775
츄러스,파미고츄레리아,1704,파미고 츄레리아,02-2038-7771,26.0,4.7,,True,False,0.3748019255050505
츄러스,모닐이네하우스 글루텐프리 공방카페,1868,모닐이네하우스 monil2_house Gluten free bread & dessert cafe,050-71385-9331,24.0,4.8,,True,False,0.38009947089947094
케이크,시루케이크,548,시루케이크,050-71373-7700,6.0,4.7,,True,False,0.6961174242424242
케이크,베니케이크,303,베니케이크,050-71480-8816,168.0,5.0,,True,True,0.45197916666666665
케이크,케이크예스플리즈,558,케이크예스플리즈,050-71348-1565,2.0,5.0,,True,False,0.08806897759103641
케이크,콜린,457,Colline 柿子冰,02-3141-1119,772.0,4.4,,True,True,0.3131323768823769
케이크,달콤한거짓말,377,달콤한 거짓말,02-3141-3338,115.0,4.4,,True,False,0.5000000000000001
케이크,케이크팝,658,케이크팝,02-825-8799,18.0,4.2,,True,True,0.1926388888888889
케이크,빈브라더스 커피하우스 서울,164,BEAN BROTHERS COFFEEHOUSE SEOUL,02-332-2005,21.0,4.4,,True,False,0.2346010101010101
케이크,빈브라더스 합정,846,BEAN BROTHERS Hapjeong,02-6012-2001,817.0,4.3,2.0,True,False,0.24126740646571476
케이크,카페공명 홍대점,419,Cafe Gong Myoung Hongdae Branch,070-8870-6304,45.0,4.5,,True,True,0.4152857142857142
케이크,단하나케이크 홍대점,752,케이크만들기단하나,070-4224-4747,7.0,4.7,,True,True,0.4513660159285159
케이크,루케이크,135,Lumos Cake,,11.0,4.5,,True,False,0.132
케이크,타이프 한강점,206,타이프 한강점,050-71322-2297,63.0,4.5,,True,False,0.38319761904761906
케이크,민트하임,699,Mint Heim,02-324-1359,323.0,4.2,,True,True,0.26707341269841267
케이크,튜토리얼,257,튜토리얼,010-8238-4975,21.0,4.3,,True,False,0.4308552631578947
에클레어,머씨커피,812,Mercy Coffee,,58.0,4.6,,True,True,0.2941790281329923
크루키,에반커피,1355,Evancoffee,02-322-0504,36.0,4.4,,True,False,0.5799285714285715
휘낭시에,수상한베이글,402,Susanghan Bagel,050-71315-4096,68.0,4.2,,True,True,0.3338919064153439
휘낭시에,벨라쿠키 본점,570,Bella Cookie,070-8722-8577,17.0,4.5,,True,False,0.20316161616161615
휘낭시에,도토리앤다람쥐,906,도토리앤다람쥐,050-71327-8101,30.0,4.2,,True,False,0.2064703842940685
휘낭시에,리밀앤밀리,1015,Limil coffee,050-71328-2923,23.0,4.7,,True,False,0.5130873015873016
휘낭시에,디저트39 합정역점,763,디저트39 합정역점,02-6053-9202,4.0,3.3,2.0,True,False,0.209375
휘낭시에,라운지 클라리멘토,932,Lounge Clarimento,010-2611-3385,2.0,5.0,,True,False,0.24840367965367965
휘낭시에,파이앤브라우니,635,파이앤브라우니,02-338-3132,2.0,4.5,,True,False,0.275
휘낭시에,아우어베이커리 신촌숲길점,1166,아우어베이커리 신촌숲길점,02-332-8481,13.0,4.4,,True,False,0.31057720057720056
모찌,모찌,1255,Mochibang,050-71325-6851,123.0,4.6,,True,False,0.2936111111111111
모찌,네코네주방,639,네코네주방,02-3144-8222,2.0,5.0,,False,True,0.6875
모찌,유키모찌 연남점,1624,Yuki Mochi,050-71358-0423,53.0,4.1,,True,True,0.3344166666666667
모찌,고양이식당,586,고양이부엌,,238.0,3.9,1.0,True,True,0.20283333333333334
모찌,미크플로 홍대점,1038,미크플로홍대점,02-324-2562,9.0,4.9,,True,True,0.6117547743055556
와플,스탠스커피,299,Stance Coffee,02-323-7500,70.0,4.1,2.0,True,True,0.4548280867683042
와플,땡스네이쳐,771,Thanks Nature Cafe,02-332-7470,858.0,4.5,2.0,True,False,0.37978472222222226
와플,멜로우,701,Mellow,010-2929-8283,101.0,4.4,,True,True,0.17437857142857144
와플,천원 와플,655,홍대 와플,,14.0,4.4,,True,True,0.3582829861111111
와플,새검정,868,Saegeomjeong,010-6424-8504,81.0,4.0,,True,True,0.3747857142857143
와플,펠리칸카페,201,펠리칸카페,02-338-8300,26.0,4.4,,True,False,0.4278928571428572
와플,커피탐이나,593,Coffee Tomeina,010-2449-3211,29.0,4.4,,True,True,0.6349206349206349
